Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Fernando  Alonso  ALO,ESP,Renault,134,
,2,Michael  Schumacher  MSC,GER,Ferrari,121,
,3,Felipe  Massa  MAS,BRA,Ferrari,80,
,4,Giancarlo  Fisichella  FIS,ITA,Renault,72,
,5,Kimi  Räikkönen  RAI,FIN,McLaren Mercedes,65,
,6,Jenson  Button  BUT,GBR,Honda,56,
,7,Rubens  Barrichello  BAR,BRA,Honda,30,
,8,Juan Pablo  Montoya  MOY,COL,McLaren Mercedes,26,
,9,Nick  Heidfeld  HEI,GER,Sauber BMW,23,
,10,Ralf  Schumacher  RSC,GER,Toyota,20,
,11,Pedro  de la Rosa  DLR,ESP,McLaren Mercedes,19,
,12,Jarno  Trulli  TRU,ITA,Toyota,15,
,13,David  Coulthard  COU,GBR,RBR Ferrari,14,
,14,Mark  Webber  WEB,AUS,Williams Cosworth,7,
,15,Jacques  Villeneuve  VIL,CAN,Sauber BMW,7,
,16,Robert  Kubica  KUB,POL,Sauber BMW,6,
,17,Nico  Rosberg  ROS,GER,Williams Cosworth,4,
,18,Christian  Klien  KLI,AUT,RBR Ferrari,2,
,19,Vitantonio  Liuzzi  LIU,ITA,STR Cosworth,1,
,20,Scott  Speed  SPE,USA,STR Cosworth,0,
,21,Tiago  Monteiro  MON,POR,MF1 Toyota,0,
,22,Christijan  Albers  ALB,NED,MF1 Toyota,0,
,23,Takuma  Sato  SAT,JPN,Super Aguri Honda,0,
,24,Robert  Doornbos  DOO,NED,RBR Ferrari,0,
,25,Yuji  Ide  IDE,JPN,Super Aguri Honda,0,
,26,Sakon  Yamamoto  YAM,JPN,Super Aguri Honda,0,
,27,Franck  Montagny  MON,FRA,Super Aguri Honda,0,
