Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jim  Clark  CLA,GBR,Lotus Climax,54,
,2,Graham  Hill  HIL,GBR,BRM,40,
,3,Jackie  Stewart  STE,GBR,BRM,33,
,4,Dan  Gurney  GUR,USA,Brabham Climax,25,
,5,John  Surtees  SUR,GBR,Ferrari,17,
,6,Lorenzo  Bandini  BAN,ITA,Ferrari,13,
,7,Richie  Ginther  GIN,USA,Honda,11,
,8,Mike  Spence  SPE,GBR,Lotus Climax,10,
,8,Bruce  McLaren  MCL,NZL,Cooper Climax,10,
,10,Jack  Brabham  BRA,AUS,Brabham Climax,9,
,11,Denny  Hulme  HUL,NZL,Brabham Climax,5,
,11,Jo  Siffert  SIF,SUI,Brabham BRM,5,
,13,Jochen  Rindt  RIN,AUT,Cooper Climax,4,
,14,Pedro  Rodriguez  ROD,MEX,Ferrari,2,
,14,Ronnie  Bucknum  BUC,USA,Honda,2,
,14,Richard  Attwood  ATT,GBR,Lotus BRM,2,
