Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Lewis  Hamilton  HAM,GBR,Mercedes,347,
,2,Valtteri  Bottas  BOT,FIN,Mercedes,223,
,3,Max  Verstappen  VER,NED,Red Bull Racing Honda,214,
,4,Sergio  Perez  PER,MEX,Racing Point BWT Mercedes,125,
,5,Daniel  Ricciardo  RIC,AUS,Renault,119,
,6,Carlos  Sainz  SAI,ESP,McLaren Renault,105,
,7,Alexander  Albon  ALB,THA,Red Bull Racing Honda,105,
,8,Charles  Leclerc  LEC,MON,Ferrari,98,
,9,Lando  Norris  NOR,GBR,McLaren Renault,97,
,10,Pierre  Gasly  GAS,FRA,AlphaTauri Honda,75,
,11,Lance  Stroll  STR,CAN,Racing Point BWT Mercedes,75,
,12,Esteban  Ocon  OCO,FRA,Renault,62,
,13,Sebastian  Vettel  VET,GER,Ferrari,33,
,14,Daniil  Kvyat  KVY,RUS,AlphaTauri Honda,32,
,15,Nico  Hulkenberg  HUL,GER,Racing Point BWT Mercedes,10,
,16,Kimi  Räikkönen  RAI,FIN,Alfa Romeo Racing Ferrari,4,
,17,Antonio  Giovinazzi  GIO,ITA,Alfa Romeo Racing Ferrari,4,
,18,George  Russell  RUS,GBR,Williams Mercedes,3,
,19,Romain  Grosjean  GRO,FRA,Haas Ferrari,2,
,20,Kevin  Magnussen  MAG,DEN,Haas Ferrari,1,
,21,Nicholas  Latifi  LAT,CAN,Williams Mercedes,0,
,22,Jack  Aitken  AIT,GBR,Williams Mercedes,0,
,23,Pietro  Fittipaldi  FIT,BRA,Haas Ferrari,0,
