Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Phil  Hill  HIL,USA,Ferrari,34,
,2,Wolfgang  von Trips  VON,GER,Ferrari,33,
,3,Stirling  Moss  MOS,GBR,Lotus Climax,21,
,3,Dan  Gurney  GUR,USA,Porsche,21,
,5,Richie  Ginther  GIN,USA,Ferrari,16,
,6,Innes  Ireland  IRE,GBR,Lotus Climax,12,
,7,Jim  Clark  CLA,GBR,Lotus Climax,11,
,7,Bruce  McLaren  MCL,NZL,Cooper Climax,11,
,9,Giancarlo  Baghetti  BAG,ITA,Ferrari,9,
,10,Tony  Brooks  BRO,GBR,BRM Climax,6,
,11,Jack  Brabham  BRA,AUS,Cooper Climax,4,
,11,John  Surtees  SUR,GBR,Cooper Climax,4,
,13,Olivier Gendebien  GEN,BEL,Lotus Climax,3,
,13,Jackie Lewis LEW,GBR,Cooper Climax,3,
,13,Jo  Bonnier  BON,SWE,Porsche,3,
,13,Graham  Hill  HIL,GBR,BRM Climax,3,
,17,Roy  Salvadori  SAL,GBR,Cooper Climax,2,
