Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Juan Manuel  Fangio  FAN,ARG,Maserati,40,
,2,Stirling  Moss  MOS,GBR,Vanwall,25,
,3,Luigi  Musso  MUS,ITA,Ferrari,16,
,4,Mike  Hawthorn  HAW,GBR,Ferrari,13,
,5,Tony  Brooks  BRO,GBR,Vanwall,11,
,6,Masten  Gregory  GRE,USA,Maserati,10,
,6,Harry  Schell  SCH,USA,Maserati,10,
,8,Sam  Hanks  HAN,USA,Epperly Offenhauser,8,
,8,Peter  Collins  COL,GBR,Ferrari,8,
,10,Jim  Rathmann  RAT,USA,Epperly Offenhauser,7,
,11,Jean  Behra  BEH,FRA,Maserati,6,
,12,Stuart Lewis-Evans LEW,GBR,Vanwall,5,
,12,Maurice Trintignant  TRI,FRA,Ferrari,5,
,14,Carlos  Menditeguy  MEN,ARG,Maserati,4,
,14,Jimmy  Bryan  BRY,USA,Kuzma Offenhauser,4,
,14,Wolfgang  von Trips  VON,GER,Ferrari,4,
,17,Paul  Russo  RUS,USA,Kurtis Kraft Novi,3,
,18,Andy  Linden  LIN,USA,Kurtis Kraft Offenhauser,2,
,18,Roy  Salvadori  SAL,GBR,Cooper Climax,2,
,20,Alfonso  de Portago DEP,ESP,Ferrari,1,
,20,Jose Froilan  Gonzalez  GON,ARG,Ferrari,1,
,20,Giorgio Scarlatti SCA,ITA,Maserati,1,
