Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,John  Surtees  SUR,GBR,Ferrari,40,
,2,Graham  Hill  HIL,GBR,BRM,39,
,3,Jim  Clark  CLA,GBR,Lotus Climax,32,
,4,Lorenzo  Bandini  BAN,ITA,Ferrari,23,
,4,Richie  Ginther  GIN,USA,BRM,23,
,6,Dan  Gurney  GUR,USA,Brabham Climax,19,
,7,Bruce  McLaren  MCL,NZL,Cooper Climax,13,
,8,Peter Arundell ARU,GBR,Lotus Climax,11,
,8,Jack  Brabham  BRA,AUS,Brabham Climax,11,
,10,Jo  Siffert  SIF,SUI,Brabham BRM,7,
,11,Bob  Anderson  AND,GBR,Brabham Climax,5,
,12,Tony  Maggs  MAG,RSA,BRM,4,
,12,Mike  Spence  SPE,GBR,Lotus Climax,4,
,12,Innes  Ireland  IRE,GBR,BRP BRM,4,
,15,Jo  Bonnier  BON,SWE,Brabham Climax,3,
,16,Chris  Amon  AMO,NZL,Lotus BRM,2,
,16,Maurice Trintignant  TRI,FRA,BRM,2,
,16,Walt Hansgen  HAN,USA,Lotus Climax,2,
,19,Mike  Hailwood  HAI,GBR,Lotus BRM,1,
,19,Phil  Hill  HIL,USA,Cooper Climax,1,
,19,Trevor Taylor TAY,GBR,BRP BRM,1,
,19,Pedro  Rodriguez  ROD,MEX,Ferrari,1,
