Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Nelson  Piquet  PIQ,BRA,Brabham BMW,59,
,2,Alain  Prost  PRO,FRA,Renault,57,
,3,Rene  Arnoux  ARN,FRA,Ferrari,49,
,4,Patrick  Tambay  TAM,FRA,Ferrari,40,
,5,Keke  Rosberg  ROS,FIN,Williams Honda,27,
,6,John  Watson  WAT,GBR,McLaren Ford,22,
,7,Eddie Cheever  CHE,USA,Renault,22,
,8,Andrea  de Cesaris  DEC,ITA,Alfa Romeo,15,
,9,Riccardo  Patrese  PAT,ITA,Brabham BMW,13,
,10,Niki  Lauda  LAU,AUT,McLaren TAG,12,
,11,Jacques  Laffite  LAF,FRA,Williams Honda,11,
,12,Michele  Alboreto  ALB,ITA,Tyrrell Ford,10,
,13,Nigel  Mansell  MAN,GBR,Lotus Renault,10,
,14,Derek  Warwick  WAR,GBR,Toleman Hart,9,
,15,Marc  Surer  SUR,SUI,Arrows Ford,4,
,16,Mauro  Baldi  BAL,ITA,Alfa Romeo,3,
,17,Elio  de Angelis  DEA,ITA,Lotus Renault,2,
,18,Danny  Sullivan  SUL,USA,Tyrrell Ford,2,
,19,Bruno  Giacomelli  GIA,ITA,Toleman Hart,1,
,20,Johnny  Cecotto  CEC,VEN,Theodore Ford,1,
