Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jack  Brabham  BRA,AUS,Cooper Climax,31.0,
,2,Tony  Brooks  BRO,GBR,Ferrari,27.0,
,3,Stirling  Moss  MOS,GBR,Cooper Climax,25.5,
,4,Phil  Hill  HIL,USA,Ferrari,20.0,
,5,Maurice Trintignant  TRI,FRA,Cooper Climax,19.0,
,6,Bruce  McLaren  MCL,NZL,Cooper Climax,16.5,
,7,Dan  Gurney  GUR,USA,Ferrari,13.0,
,8,Jo  Bonnier  BON,SWE,BRM,10.0,
,8,Masten  Gregory  GRE,USA,Cooper Climax,10.0,
,10,Rodger  Ward  WAR,USA,Kurtis Kraft Offenhauser,8.0,
,11,Jim  Rathmann  RAT,USA,Watson Offenhauser,6.0,
,12,Johnny  Thomson  THO,USA,Lesovsky Offenhauser,5.0,
,12,Innes  Ireland  IRE,GBR,Lotus Climax,5.0,
,12,Harry  Schell  SCH,USA,Cooper Climax,5.0,
,15,Tony Bettenhausen  BET,USA,Epperly Offenhauser,3.0,
,15,Olivier Gendebien  GEN,BEL,Ferrari,3.0,
,17,Paul  Goldsmith  GOL,USA,Epperly Offenhauser,2.0,
,17,Jean  Behra  BEH,FRA,Ferrari,2.0,
,17,Cliff  Allison  ALL,GBR,Ferrari,2.0,
