Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Ayrton  Senna  SEN,BRA,McLaren Honda,90,
,2,Alain  Prost  PRO,FRA,McLaren Honda,87,
,3,Gerhard  Berger  BER,AUT,Ferrari,41,
,4,Thierry  Boutsen  BOU,BEL,Benetton Ford,27,
,5,Michele  Alboreto  ALB,ITA,Ferrari,24,
,6,Nelson  Piquet  PIQ,BRA,Lotus Honda,22,
,7,Ivan  Capelli  CAP,ITA,March Judd,17,
,8,Derek  Warwick  WAR,GBR,Arrows Megatron,17,
,9,Nigel  Mansell  MAN,GBR,Williams Judd,12,
,10,Alessandro  Nannini  NAN,ITA,Benetton Ford,12,
,11,Riccardo  Patrese  PAT,ITA,Williams Judd,8,
,12,Eddie Cheever  CHE,USA,Arrows Megatron,6,
,13,Mauricio  Gugelmin  GUG,BRA,March Judd,5,
,14,Jonathan Palmer  PAL,GBR,Tyrrell Ford,5,
,15,Andrea  de Cesaris  DEC,ITA,Rial Ford,3,
,16,Pierluigi  Martini  MAR,ITA,Minardi Ford,1,
,17,Satoru  Nakajima  NAK,JPN,Lotus Honda,1,
