Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jack  Brabham  BRA,AUS,Brabham Repco,42,
,2,John  Surtees  SUR,GBR,Cooper Maserati,28,
,3,Jochen  Rindt  RIN,AUT,Cooper Maserati,22,
,4,Denny  Hulme  HUL,NZL,Brabham Repco,18,
,5,Graham  Hill  HIL,GBR,BRM,17,
,6,Jim  Clark  CLA,GBR,Lotus BRM,16,
,7,Jackie  Stewart  STE,GBR,BRM,14,
,8,Mike Parkes PAR,GBR,Ferrari,12,
,8,Lorenzo  Bandini  BAN,ITA,Ferrari,12,
,10,Ludovico  Scarfiotti  SCA,ITA,Ferrari,9,
,11,Richie  Ginther  GIN,USA,Honda,5,
,12,Dan  Gurney  GUR,USA,Eagle Climax,4,
,12,Mike  Spence  SPE,GBR,Lotus BRM,4,
,14,Bob  Bondurant  BON,USA,Eagle Weslake,3,
,14,Jo  Siffert  SIF,SUI,Cooper Maserati,3,
,14,Bruce  McLaren  MCL,NZL,McLaren Ford,3,
,17,John Taylor TAY,GBR,Brabham BRM,1,
,17,Bob  Anderson  AND,GBR,Brabham Climax,1,
,17,Peter Arundell ARU,GBR,Lotus BRM,1,
,17,Jo  Bonnier  BON,SWE,Cooper Maserati,1,
