Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Mario  Andretti  AND,USA,Lotus Ford,64,
,2,Ronnie  Peterson  PET,SWE,Lotus Ford,51,
,3,Carlos  Reutemann  REU,ARG,Ferrari,48,
,4,Niki  Lauda  LAU,AUT,Brabham Alfa Romeo,44,
,5,Patrick  Depailler  DEP,FRA,Tyrrell Ford,34,
,6,John  Watson  WAT,GBR,Brabham Alfa Romeo,25,
,7,Jody  Scheckter  SCH,RSA,Wolf Ford,24,
,8,Jacques  Laffite  LAF,FRA,Ligier Matra,19,
,9,Gilles  Villeneuve  VIL,CAN,Ferrari,17,
,9,Emerson  Fittipaldi  FIT,BRA,Fittipaldi Ford,17,
,11,Alan Jones  JON,AUS,Williams Ford,11,
,11,Riccardo  Patrese  PAT,ITA,Arrows Ford,11,
,13,James  Hunt  HUN,GBR,McLaren Ford,8,
,13,Patrick  Tambay  TAM,FRA,McLaren Ford,8,
,15,Didier  Pironi  PIR,FRA,Tyrrell Ford,7,
,16,Clay  Regazzoni  REG,SUI,Shadow Ford,4,
,17,Jean-Pierre  Jabouille  JAB,FRA,Renault,3,
,18,Hans-Joachim  Stuck  STU,GER,Shadow Ford,2,
,19,Hector  Rebaque  REB,MEX,Lotus Ford,1,
,19,Vittorio  Brambilla  BRA,ITA,Surtees Ford,1,
,19,Derek  Daly  DAL,IRL,Ensign Ford,1,
