Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Mike  Hawthorn  HAW,GBR,Ferrari,42,
,2,Stirling  Moss  MOS,GBR,Vanwall,41,
,3,Tony  Brooks  BRO,GBR,Vanwall,24,
,4,Roy  Salvadori  SAL,GBR,Cooper Climax,15,
,5,Peter  Collins  COL,GBR,Ferrari,14,
,5,Harry  Schell  SCH,USA,BRM,14,
,7,Maurice Trintignant  TRI,FRA,Cooper Climax,12,
,7,Luigi  Musso  MUS,ITA,Ferrari,12,
,9,Stuart Lewis-Evans LEW,GBR,Vanwall,11,
,10,Phil  Hill  HIL,USA,Ferrari,9,
,10,Jean  Behra  BEH,FRA,BRM,9,
,10,Wolfgang  von Trips  VON,GER,Ferrari,9,
,13,Jimmy  Bryan  BRY,USA,Epperly Offenhauser,8,
,14,Juan Manuel  Fangio  FAN,ARG,Maserati,7,
,15,George Amick  AMI,USA,Epperly Offenhauser,6,
,16,Tony Bettenhausen  BET,USA,Epperly Offenhauser,4,
,16,Johnny Boyd  BOY,USA,Kurtis Kraft Offenhauser,4,
,18,Jack  Brabham  BRA,AUS,Cooper Climax,3,
,18,Cliff  Allison  ALL,GBR,Lotus Climax,3,
,18,Jo  Bonnier  BON,SWE,BRM,3,
,21,Jim  Rathmann  RAT,USA,Epperly Offenhauser,2,
