Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Juan Manuel  Fangio  FAN,ARG,Ferrari,30.0,
,2,Stirling  Moss  MOS,GBR,Maserati,27.0,
,3,Peter  Collins  COL,GBR,Ferrari,25.0,
,4,Jean  Behra  BEH,FRA,Maserati,22.0,
,5,Pat  Flaherty  FLA,USA,Watson Offenhauser,8.0,
,6,Eugenio  Castellotti  CAS,ITA,Ferrari,7.5,
,7,Sam  Hanks  HAN,USA,Kurtis Kraft Offenhauser,6.0,
,7,Paul  Frere  FRE,BEL,Ferrari,6.0,
,7,Paco Godia  GOD,ESP,Maserati,6.0,
,10,Jack Fairman  FAI,GBR,Connaught Alta,5.0,
,11,Mike  Hawthorn  HAW,GBR,BRM,4.0,
,11,Luigi  Musso  MUS,ITA,Ferrari,4.0,
,11,Don Freeland  FRE,USA,Phillips Offenhauser,4.0,
,11,Ron  Flockhart  FLO,GBR,Connaught Alta,4.0,
,15,Johnnie Parsons  PAR,USA,Kuzma Offenhauser,3.0,
,15,Harry  Schell  SCH,USA,Vanwall,3.0,
,15,Alfonso  de Portago DEP,ESP,Ferrari,3.0,
,15,Cesare  Perdisa  PER,ITA,Maserati,3.0,
,19,Olivier Gendebien  GEN,BEL,Ferrari,2.0,
,19,Hermano  da Silva Ramos  DAS,BRA,Gordini,2.0,
,19,Dick  Rathmann  RAT,USA,Kurtis Kraft Offenhauser,2.0,
,19,Luigi Villoresi  VIL,ITA,Maserati,2.0,
,19,Horace Gould GOU,GBR,Maserati,2.0,
,19,Louis Rosier  ROS,FRA,Maserati,2.0,
,25,Gerino Gerini GER,ITA,Maserati,1.5,
,25,Chico  Landi  LAN,BRA,Maserati,1.5,
,27,Paul  Russo  RUS,USA,Kurtis Kraft Novi,1.0,
