Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Nelson  Piquet  PIQ,BRA,Williams Honda,73,
,2,Nigel  Mansell  MAN,GBR,Williams Honda,61,
,3,Ayrton  Senna  SEN,BRA,Lotus Honda,57,
,4,Alain  Prost  PRO,FRA,McLaren TAG,46,
,5,Gerhard  Berger  BER,AUT,Ferrari,36,
,6,Stefan  Johansson  JOH,SWE,McLaren TAG,30,
,7,Michele  Alboreto  ALB,ITA,Ferrari,17,
,8,Thierry  Boutsen  BOU,BEL,Benetton Ford,16,
,9,Teo  Fabi  FAB,ITA,Benetton Ford,12,
,10,Eddie Cheever  CHE,USA,Arrows Megatron,8,
,11,Jonathan Palmer  PAL,GBR,Tyrrell Ford,7,
,12,Satoru  Nakajima  NAK,JPN,Lotus Honda,7,
,13,Riccardo  Patrese  PAT,ITA,Williams Honda,6,
,14,Andrea  de Cesaris  DEC,ITA,Brabham BMW,4,
,15,Philippe  Streiff  STR,FRA,Tyrrell Ford,4,
,16,Derek  Warwick  WAR,GBR,Arrows Megatron,3,
,17,Philippe  Alliot  ALL,FRA,Lola Ford,3,
,18,Martin  Brundle  BRU,GBR,Zakspeed,2,
,19,Rene  Arnoux  ARN,FRA,Ligier Megatron,1,
,20,Ivan  Capelli  CAP,ITA,March Ford,1,
,21,Roberto  Moreno  MOR,BRA,AGS Ford,1,
