Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Lewis  Hamilton  HAM,GBR,Mercedes,381,
,2,Nico  Rosberg  ROS,GER,Mercedes,322,
,3,Sebastian  Vettel  VET,GER,Ferrari,278,
,4,Kimi  Räikkönen  RAI,FIN,Ferrari,150,
,5,Valtteri Bottas  BOT,FIN,Williams Mercedes,136,
,6,Felipe  Massa  MAS,BRA,Williams Mercedes,121,
,7,Daniil  Kvyat  KVY,RUS,Red Bull Racing Renault,95,
,8,Daniel  Ricciardo  RIC,AUS,Red Bull Racing Renault,92,
,9,Sergio  Perez  PER,MEX,Force India Mercedes,78,
,10,Nico  Hulkenberg  HUL,GER,Force India Mercedes,58,
,11,Romain  Grosjean  GRO,FRA,Lotus Mercedes,51,
,12,Max  Verstappen  VES,NED,STR Renault,49,
,13,Felipe  Nasr  NAS,BRA,Sauber Ferrari,27,
,14,Pastor  Maldonado  MAL,VEN,Lotus Mercedes,27,
,15,Carlos  Sainz  SAI,ESP,STR Renault,18,
,16,Jenson  Button  BUT,GBR,McLaren Honda,16,
,17,Fernando  Alonso  ALO,ESP,McLaren Honda,11,
,18,Marcus  Ericsson  ERI,SWE,Sauber Ferrari,9,
,19,Roberto  Merhi  MER,ESP,Marussia Ferrari,0,
,20,Alexander  Rossi  RSI,USA,Marussia Ferrari,0,
,21,Will  Stevens  STE,GBR,Marussia Ferrari,0,
