Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Nigel  Mansell  MAN,GBR,Williams Renault,108,
,2,Riccardo  Patrese  PAT,ITA,Williams Renault,56,
,3,Michael  Schumacher  MSC,GER,Benetton Ford,53,
,4,Ayrton  Senna  SEN,BRA,McLaren Honda,50,
,5,Gerhard  Berger  BER,AUT,McLaren Honda,49,
,6,Martin  Brundle  BRU,GBR,Benetton Ford,38,
,7,Jean  Alesi  ALE,FRA,Ferrari,18,
,8,Mika  Hakkinen  HAK,FIN,Lotus Ford,11,
,9,Andrea  de Cesaris  DEC,ITA,Tyrrell Ilmor,8,
,10,Michele  Alboreto  ALB,ITA,Footwork Mugen Honda,6,
,11,Erik  Comas  COM,FRA,Ligier Renault,4,
,12,Karl  Wendlinger  WEN,AUT,March Ilmor,3,
,12,Ivan  Capelli  CAP,ITA,Ferrari,3,
,14,Thierry  Boutsen  BOU,BEL,Ligier Renault,2,
,15,Pierluigi  Martini  MAR,ITA,Dallara Ferrari,2,
,16,Johnny  Herbert  HER,GBR,Lotus Ford,2,
,17,Stefano  Modena  MOD,ITA,Jordan Yamaha,1,
,18,Christian  Fittipaldi  FIT,BRA,Minardi Lamborghini,1,
,19,Bertrand  Gachot  GAC,FRA,Venturi Lamborghini,1,
