Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jochen  Rindt  RIN,AUT,Lotus Ford,45,
,2,Jacky  Ickx  ICK,BEL,Ferrari,40,
,3,Clay  Regazzoni  REG,SUI,Ferrari,33,
,4,Denny  Hulme  HUL,NZL,McLaren Ford,27,
,5,Jack  Brabham  BRA,AUS,Brabham Ford,25,
,5,Jackie  Stewart  STE,GBR,Tyrrell Ford,25,
,7,Pedro  Rodriguez  ROD,MEX,BRM,23,
,7,Chris  Amon  AMO,NZL,March Ford,23,
,9,Jean-Pierre  Beltoise  BEL,FRA,Matra,16,
,10,Emerson  Fittipaldi  FIT,BRA,Lotus Ford,12,
,11,Rolf  Stommelen  STO,GER,Brabham Ford,10,
,12,Henri  Pescarolo  PES,FRA,Matra,8,
,13,Graham  Hill  HIL,GBR,Lotus Ford,7,
,14,Bruce  McLaren  MCL,NZL,McLaren Ford,6,
,15,Mario  Andretti  AND,USA,March Ford,4,
,15,Reine Wisell  WIS,SWE,Lotus Ford,4,
,17,Ignazio Giunti GIU,ITA,Ferrari,3,
,17,John  Surtees  SUR,GBR,Surtees Ford,3,
,19,John Miles  MIL,GBR,Lotus Ford,2,
,19,Johnny Servoz-Gavin SER,FRA,March Ford,2,
,19,Jackie  Oliver  OLI,GBR,BRM,2,
,22,Dan  Gurney  GUR,USA,McLaren Ford,1,
,22,Francois Cevert CEV,FRA,March Ford,1,
,22,Peter Gethin GET,GBR,McLaren Ford,1,
,22,Derek  Bell  BEL,GBR,Surtees Ford,1,
