Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Michael  Schumacher  MSC,GER,Ferrari,144,
,2,Rubens  Barrichello  BAR,BRA,Ferrari,77,
,3,Juan Pablo  Montoya  MOY,COL,Williams BMW,50,
,4,Ralf  Schumacher  RSC,GER,Williams BMW,42,
,5,David  Coulthard  COU,GBR,McLaren Mercedes,41,
,6,Kimi  Räikkönen  RAI,FIN,McLaren Mercedes,24,
,7,Jenson  Button  BUT,GBR,Renault,14,
,8,Jarno  Trulli  TRU,ITA,Renault,9,
,9,Eddie  Irvine  IRV,GBR,Jaguar Cosworth,8,
,10,Nick  Heidfeld  HEI,GER,Sauber Petronas,7,
,11,Giancarlo  Fisichella  FIS,ITA,Jordan Honda,7,
,12,Jacques  Villeneuve  VIL,CAN,BAR Honda,4,
,13,Felipe  Massa  MAS,BRA,Sauber Petronas,4,
,14,Olivier  Panis  PAN,FRA,BAR Honda,3,
,15,Takuma  Sato  SAT,JPN,Jordan Honda,2,
,16,Mark  Webber  WEB,AUS,Minardi Asiatech,2,
,17,Mika  Salo  SAL,FIN,Toyota,2,
,18,Heinz-Harald  Frentzen  FRE,GER,Sauber Petronas,2,
,19,Allan  McNish  MCN,GBR,Toyota,0,
,20,Alex  Yoong  YOO,MAS,Minardi Asiatech,0,
,21,Pedro  de la Rosa  DLR,ESP,Jaguar Cosworth,0,
,22,Enrique  Bernoldi  BER,BRA,Arrows Cosworth,0,
