Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Lewis  Hamilton  HAM,GBR,Mercedes,363,
,2,Sebastian  Vettel  VET,GER,Ferrari,317,
,3,Valtteri Bottas  BOT,FIN,Mercedes,305,
,4,Kimi  Räikkönen  RAI,FIN,Ferrari,205,
,5,Daniel  Ricciardo  RIC,AUS,Red Bull Racing TAG Heuer,200,
,6,Max  Verstappen  VER,NED,Red Bull Racing TAG Heuer,168,
,7,Sergio  Perez  PER,MEX,Force India Mercedes,100,
,8,Esteban  Ocon  OCO,FRA,Force India Mercedes,87,
,9,Carlos  Sainz  SAI,ESP,Renault,54,
,10,Nico  Hulkenberg  HUL,GER,Renault,43,
,11,Felipe  Massa  MAS,BRA,Williams Mercedes,43,
,12,Lance  Stroll  STR,CAN,Williams Mercedes,40,
,13,Romain  Grosjean  GRO,FRA,Haas Ferrari,28,
,14,Kevin  Magnussen  MAG,DEN,Haas Ferrari,19,
,15,Fernando  Alonso  ALO,ESP,McLaren Honda,17,
,16,Stoffel  Vandoorne  VAN,BEL,McLaren Honda,13,
,17,Jolyon  Palmer  PAL,GBR,Renault,8,
,18,Pascal  Wehrlein  WEH,GER,Sauber Ferrari,5,
,19,Daniil  Kvyat  KVY,RUS,Toro Rosso,5,
,20,Marcus  Ericsson  ERI,SWE,Sauber Ferrari,0,
,21,Pierre  Gasly  GAS,FRA,Toro Rosso,0,
,22,Antonio  Giovinazzi  GIO,ITA,Sauber Ferrari,0,
,23,Brendon  Hartley  HAR,NZL,Toro Rosso,0,
