Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Michael  Schumacher  MSC,GER,Ferrari,123,
,2,David  Coulthard  COU,GBR,McLaren Mercedes,65,
,3,Rubens  Barrichello  BAR,BRA,Ferrari,56,
,4,Ralf  Schumacher  RSC,GER,Williams BMW,49,
,5,Mika  Hakkinen  HAK,FIN,McLaren Mercedes,37,
,6,Juan Pablo  Montoya  MOY,COL,Williams BMW,31,
,7,Jacques  Villeneuve  VIL,CAN,BAR Honda,12,
,8,Nick  Heidfeld  HEI,GER,Sauber Petronas,12,
,9,Jarno  Trulli  TRU,ITA,Jordan Honda,12,
,10,Kimi  Räikkönen  RAI,FIN,Sauber Petronas,9,
,11,Giancarlo  Fisichella  FIS,ITA,Benetton Renault,8,
,12,Eddie  Irvine  IRV,GBR,Jaguar Cosworth,6,
,13,Heinz-Harald  Frentzen  FRE,GER,Prost Acer,6,
,14,Olivier  Panis  PAN,FRA,BAR Honda,5,
,15,Jean  Alesi  ALE,FRA,Jordan Honda,5,
,16,Pedro  de la Rosa  DLR,ESP,Jaguar Cosworth,3,
,17,Jenson  Button  BUT,GBR,Benetton Renault,2,
,18,Jos  Verstappen  VER,NED,Arrows Asiatech,1,
