Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Juan Manuel  Fangio  FAN,ARG,Alfa Romeo,31,
,2,Alberto  Ascari  ASC,ITA,Ferrari,25,
,3,Jose Froilan  Gonzalez  GON,ARG,Ferrari,24,
,4,Nino  Farina  FAR,ITA,Alfa Romeo,19,
,5,Luigi Villoresi  VIL,ITA,Ferrari,15,
,6,Piero Taruffi  TAR,ITA,Ferrari,10,
,7,Lee  Wallard  WAL,USA,Kurtis Kraft Offenhauser,9,
,8,Felice Bonetto  BON,ITA,Alfa Romeo,7,
,9,Mike  Nazaruk  NAZ,USA,Kurtis Kraft Offenhauser,6,
,10,Reg Parnell  PAR,GBR,BRM,5,
,11,Luigi  Fagioli  FAG,ITA,Alfa Romeo,4,
,12,Consalvo Sanesi  SAN,ITA,Alfa Romeo,3,
,12,Andy  Linden  LIN,USA,Sherman Offenhauser,3,
,12,Louis Rosier  ROS,FRA,,3,
,15,Toulo  de Graffenried  DEG,SUI,Alfa Romeo,2,
,15,Manny  Ayulo  AYU,USA,Kurtis Kraft Offenhauser,2,
,15,Bobby  Ball  BAL,USA,Schroeder Offenhauser,2,
,15,Jack  McGrath  MCG,USA,Kurtis Kraft Offenhauser,2,
,15,Yves Giraud  Cabantous  CAB,FRA,Talbot-Lago,2,
